Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM377370	0.0331013201953988	0	0.022665128493219	0.0101266611202533	0	0.101805728739988	0	0.0829754951614935	0.00728106877145146	0	0.0502196351103135	0	0.00642244813832589	0	0.093137501855892	0.441224119852208	0.0570963656033999	0	0.0302083880859908	0.0625251029805337	0	0.00121103589153157	0.003	0.424722402608462	0.904228778823966
GSM377371	0.0477048224657466	0	0.0481776059550185	0.0434654878540165	0	0.0864169185905189	0	0.0423944230325172	0.0209822022290089	0	0.0501456932637466	0	0	0	0.0518053440276865	0.478934966944527	0.0766228566822879	0	0.0272696171908234	0.0260800617641018	0	0	0.005	0.350908108099389	0.936268415110158
GSM377372	0.0967826423264636	0	0.0623901242220043	0.0644767521236655	0	0.0844664696870113	0	0.0539119057986619	0.00167065016733126	0	0.0704863881212379	0	0.0202400835895162	0	0.073004356556048	0.382441138867345	0.0263627741199948	0	0.0254748695925132	0.0379067850115063	0	0.000385059816700234	0.012	0.282713198411654	0.962895187028687
GSM377373	0.0169965227115856	0	0.0201373682819499	0.0767654136194829	0	0.0669414850305793	0	0.0292300113096866	0.0303013132516658	0	0.0314505112044207	0	0.00454115977544616	0.0514778608169529	0.0498799107248946	0.444096021588018	0.135292107358682	0	0.0313541071274235	0.00774875658434069	0	0.00378745061487195	0.001	0.476184638185511	0.882215450586957
GSM377374	0.0295962284088537	0	0.0367143348552892	0.0947030076127884	0	0.082042358433561	0	0.0253633592473345	0.0368194896302082	0	0.0470216725628368	0	0.000673275176624569	0.00115663480586341	0.0757437159756899	0.425057085739541	0.0898761496793248	0	0.048423412910915	0.00405889259659697	0	0.00275038236457298	0.003	0.436036414418185	0.900051329159515
GSM377375	0.0207931634904511	0	0.0323487258708234	0.0753106164003781	0	0.066946110585695	0	0.04667782508667	0.037155134715439	0	0.0116981615741688	0.00866606514476993	0	0	0.0551799399824725	0.490327776818327	0.0764173159876887	0	0.0749176130148957	0	0	0.00356155132822089	0.003	0.406396138971587	0.912987798053197
GSM377376	0.00278495024298184	0.00321961239172154	0.0312027803987324	0	0	0.0297799108959732	0	0.0360276069998878	0.0362391247307564	0	0.0951166589869297	0	0.00082315998967701	0.0125468088619471	0.0447901537685961	0.488406318423711	0.0996062122735424	0	0.0235154080115056	0.0936988187841021	0	0.00224247523993613	0.002	0.464548496752493	0.885454982849415
GSM377377	0.0098011165692638	0.0135025055028866	0.0455391420486022	0.10152484660149	0	0.0793475249500663	0	0.0414923518953219	0.0542417090712948	0	0.0283406921897492	0	0.0089134325543872	0	0.051654805499225	0.410678503181865	0.087114609689403	0	0.0441757698783748	0.0236729903680701	0	0	0.00800000000000001	0.339863420406091	0.940127959837591
GSM2047317	0.0559956518610864	0	0	0	0	0.0365379029043996	0.0040978269161703	0.0698647982072554	0	0.0598797044563506	0.0361567438680589	0	0	0.0123043771789501	0.0981233241788117	0.466905297864211	0.00822118207546096	0	0.144383457697017	0	0	0.00752973279222773	0	0.535126364189236	0.851020900278584
GSM2047318	0.0118081565263666	0	0.0179042659292736	0	0	0.0361566771744831	0	0.011551458793315	0.0136184523062404	0.0193609971035469	0.00994539673540334	0	0	0.312165885980531	0.0365533317257759	0.418411152779849	0.0223019260625051	0	0.070686995212685	0	0	0.0195353036700253	0	0.596263928836793	0.821689163546885
GSM2047319	0.0502865764123182	0	0.0175383898271405	0.037198039470854	0	0.144861710194159	0	0.0165910943471725	0.00943860404986127	0.0137006280047406	0	0.00657919319474427	0	0	0.157874769197291	0.436960217949909	0.0149507205297196	0	0.0238857795949151	0.0334414626758051	0	0.0366928145513705	0.002	0.457018052175078	0.888165206502573
GSM2047320	0.0448343918823406	0	0.0287419511488864	0.0533669466192901	0	0.0588360517651196	0	0.0217297847228516	0	0.0616645753103923	0	0.0246762100467346	0.00231020103395884	0.0255695039575504	0.0905934190019116	0.351456546426323	0.0653976427992324	0	0.16449245765787	0	0	0.00633031762753934	0	0.562931110009081	0.840817139481887
GSM2047321	0.0810560376018309	0	0	0	0.0627500673722206	0	0	0.0250443848559322	0	0.0270343757948255	0.0233898107112623	0	0	0	0.0437477287885257	0.600516475762598	0.0024291761638825	0	0.10089732816796	0.0278617094010901	0	0.00527290537987246	0	0.52018542638743	0.857513004623614
GSM2047322	0.051364215197545	0	0.0860028127241863	0.0494095342481953	0	0.0238134082482137	0	0.0182659385006125	0.0298285451624846	0	0.0598967322926338	0	0.0139425320425639	0.0369754162519822	0.0134078282764816	0.529598366526267	0.0268701524890284	0	0.0408241926466807	0.019800325393125	0	0	0.001	0.484227729022254	0.879868044141851
